NUTS_ID,cloud_mean,cloud_m01,cloud_m02,cloud_m03,cloud_m04,cloud_m05,cloud_m06,cloud_m07,cloud_m08,cloud_m09,cloud_m10,cloud_m11,cloud_m12
BG344,0.5902472229467498,0.6911333401997884,0.6488666733105978,0.6949666539827982,0.6705999970436096,0.6865250021219254,0.49722499400377274,0.3301750048995018,0.45240000635385513,0.5422250032424927,0.5009999945759773,0.6696000099182129,0.6982499957084656
BG4,0.5861465295311064,0.6940749982992808,0.6562916735808054,0.6790083348751068,0.6610333422819773,0.7169812470674515,0.4938437473028898,0.29874999914318323,0.4345500022172928,0.5299187544733286,0.5048500001430511,0.6777000054717064,0.6867562495172024
BG41,0.5888270864056216,0.7085666656494141,0.6522166828314463,0.674700011809667,0.6587166686852773,0.7329875007271767,0.49453749880194664,0.291362501680851,0.4444500021636486,0.5202375091612339,0.506999995559454,0.6862750053405762,0.694874994456768
BG412,0.6118625013364686,0.741866668065389,0.6898333430290222,0.6927666664123535,0.6796333392461141,0.7420249879360199,0.4967000037431717,0.32202500104904175,0.46140000224113464,0.5433000102639198,0.5158500000834465,0.7224999964237213,0.7344499975442886
BG413,0.5657916714747747,0.6752666632334391,0.6146000226338705,0.6566333572069804,0.6377999981244405,0.7239500135183334,0.4923749938607216,0.2607000023126602,0.42750000208616257,0.497175008058548,0.4981499910354614,0.650050014257431,0.6552999913692474
BG42,0.5834659726565911,0.6795833309491476,0.6603666643301646,0.6833166579405466,0.6633500158786774,0.7009749934077263,0.493149995803833,0.3061374966055155,0.42465000227093697,0.5395999997854233,0.5027000047266483,0.6691250056028366,0.6786375045776367
BG421,0.602914583351877,0.6801666617393494,0.6672000090281168,0.6902999877929688,0.6727333466211954,0.7407749891281128,0.5166999846696854,0.3406499922275543,0.4758500009775162,0.5626749992370605,0.5234250128269196,0.682875007390976,0.6816250085830688
BG425,0.5640173619613051,0.6790000001589457,0.6535333196322123,0.6763333280881246,0.6539666851361593,0.6611749976873398,0.46960000693798065,0.27162500098347664,0.37345000356435776,0.516525000333786,0.4819749966263771,0.6553750038146973,0.6756500005722046
CH,0.7050371532224947,0.7605611152119107,0.7352888849046494,0.7684611115190719,0.7295222216182284,0.779279167453448,0.6462541682024796,0.609845840682586,0.5521999957660834,0.6717833317816257,0.7150750011205673,0.7441166664163271,0.7480583339929581
CH0,0.7050371532224947,0.7605611152119107,0.7352888849046494,0.7684611115190719,0.7295222216182284,0.779279167453448,0.6462541682024796,0.609845840682586,0.5521999957660834,0.6717833317816257,0.7150750011205673,0.7441166664163271,0.7480583339929581
CH01,0.6917131928106149,0.8147333463033041,0.7416333158810934,0.7777666648228964,0.6983000040054321,0.7244250029325485,0.6022500172257423,0.52674999833107,0.5030249953269958,0.6318750008940697,0.7064749896526337,0.7844249904155731,0.7888999879360199
CH011,0.6917131928106149,0.8147333463033041,0.7416333158810934,0.7777666648228964,0.6983000040054321,0.7244250029325485,0.6022500172257423,0.52674999833107,0.5030249953269958,0.6318750008940697,0.7064749896526337,0.7844249904155731,0.7888999879360199
CH02,0.6905687536216445,0.7401333451271057,0.6864333351453146,0.7728000084559122,0.7388333280881246,0.7921250015497208,0.6430250033736229,0.5635500103235245,0.5335749909281731,0.6543500050902367,0.698074996471405,0.7453000098466873,0.718625009059906
CH021,0.6905687536216445,0.7401333451271057,0.6864333351453146,0.7728000084559122,0.7388333280881246,0.7921250015497208,0.6430250033736229,0.5635500103235245,0.5335749909281731,0.6543500050902367,0.698074996471405,0.7453000098466873,0.718625009059906
CH04,0.7455236112905873,0.8527666727701823,0.812933345635732,0.803766667842865,0.7193666497866312,0.7447749972343445,0.6351499930024147,0.6766500025987625,0.5726750046014786,0.680249996483326,0.7644000053405762,0.825424998998642,0.8581250011920929
CH040,0.7455236112905873,0.8527666727701823,0.812933345635732,0.803766667842865,0.7193666497866312,0.7447749972343445,0.6351499930024147,0.6766500025987625,0.5726750046014786,0.680249996483326,0.7644000053405762,0.825424998998642,0.8581250011920929
CH05,0.7056406254155768,0.7383500039577484,0.7390166620413462,0.7558166682720184,0.7342666685581207,0.7938250005245209,0.6576374918222427,0.6402750164270401,0.5674874931573868,0.6864249929785728,0.7120124995708466,0.719200000166893,0.7233750075101852
CH055,0.7363013898332914,0.8346333503723145,0.81550000111262,0.8004999955495199,0.734333336353302,0.7511999905109406,0.6294249892234802,0.6772250235080719,0.558449998497963,0.6802249848842621,0.7351749986410141,0.8000999987125397,0.8188500106334686
CH056,0.6749798609978622,0.6420666575431824,0.6625333229700724,0.711133340994517,0.7342000007629395,0.8364500105381012,0.6858499944210052,0.6033250093460083,0.5765249878168106,0.6926250010728836,0.688850000500679,0.6383000016212463,0.6279000043869019
